Participant_number,Text_number,Total_words,Total_lines,Full_lines,Reading_start,Reading_end
P36b,6,54,6,5,217.7788,248.9328
P37a,1,39,5,4,54.2947,90.7801
P37a,5,50,6,5,127.0987,172.9302
P37a,7,46,6,5,205.0838,246.6335
P37b,3,36,5,4,38.2909,62.7710
P37b,4,45,5,4,96.2408,134.0425
P37b,6,54,6,5,164.0967,211.8941
P38,1,39,5,4,86.1320,116.1531
P38,5,50,6,5,151.6220,183.8090
P38,7,46,6,5,213.3304,249.3660
P39a,1,39,5,4,40.3337,49.1804
P39a,5,50,6,5,116.1867,132.9297
P39a,7,46,6,5,166.5494,181.0938
P39b,3,36,5,4,65.6047,82.0312
P39b,4,45,5,4,116.7338,139.1916
P39b,6,54,6,5,171.4952,194.0195
P40a,3,36,5,4,81.1149,161.7656
P40a,4,45,5,4,213.8947,319.4187
P40a,6,54,6,5,353.8548,466.9094
P40b,1,39,5,4,49.0089,94.5289
P40b,5,50,6,5,128.9315,NA
P40b,7,46,6,5,264.5933,376.6149
P43a,1,39,5,4,73.6370,100.8427
P43a,5,50,6,5,130.0640,159.4359
P43a,7,46,6,5,187.6409,219.4612
P43b,3,36,5,4,34.1695,55.4944
P43b,4,45,5,4,97.7941,124.7831
P43b,6,54,6,5,156.3870,180.3774
P44,1,39,5,4,101.9757,168.2322
P44,2,65,7,7,202.3520,321.1877
P44,3,36,5,4,359.9219,432.3927
P44,4,45,5,4,471.0105,551.7782
P44,5,50,6,5,577.5511,660.6844
P44,6,54,6,5,690.2726,768.3077
P44,7,46,6,5,797.2797,890.9749
P45a,1,39,5,4,58.5435,74.7371
P45a,5,50,6,5,109.4897,127.3658
P45a,7,46,6,5,160.3859,178.3455
P45b,3,36,5,4,24.6410,34.7368
P45b,4,45,5,4,55.1618,72.0716
P45b,6,54,6,5,116.1040,134.5797
P46,1,39,5,4,58.0264,76.2692
P46,5,50,6,5,109.1726,124.3331
P46,7,46,6,5,168.8651,NA
P48a,3,36,5,4,30.9800,68.9148
P48a,4,45,5,4,100.6019,156.8628
P48a,6,54,6,5,181.3860,234.2480
P48b,1,39,5,4,31.0790,73.5248
P48b,5,50,6,5,NA,NA
P48b,7,46,6,5,167.9071,227.6495
P50,1,39,5,4,59.5599,77.8022
P50,2,65,7,7,NA,NA
P50,3,36,5,4,180.7941,200.2360
P50,4,45,5,4,231.2784,257.3798
P50,5,50,6,5,293.6153,316.1226
P50,6,54,6,5,367.0020,NA
P50,7,46,6,5,NA,NA
S8,1,39,5,4,17.4096,32.6702
S8,2,65,7,7,56.3442,81.4506
S8,3,36,5,4,90.6969,106.607
S8,4,45,5,4,121.5344,140.3601
S8,5,50,6,5,165.1835,181.4102
S8,6,54,6,5,207.7329,226.9086
S8,7,46,6,5,242.6022,262.1442
S9,1,39,5,4,24.624,34.62
S9,2,65,7,7,46.9152,66.5073
S9,3,36,5,4,89.0314,100.0437
S9,4,45,5,4,153.1224,165.2675
S9,5,50,6,5,216.8799,227.2423
S9,6,54,6,5,281.2541,296.0148
S9,7,46,6,5,356.9402,371.4845
S10,1,39,5,4,24.7687,51.8244
S10,2,65,7,7,89.2094,145.6365
S10,3,36,5,4,150.7513,189.5024
S10,4,45,5,4,228.1201,264.7054
